CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
IND-00092,Female,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),94.68,556.5,No
IND-00093,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,108.98,1057.12,Yes
IND-00094,Female,1,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),112.09,4532.33,Yes
IND-00095,Female,0,Yes,No,12,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),21.18,256.08,No
IND-00096,Male,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.07,1637.39,No
IND-00097,Female,0,No,No,49,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),58.77,2983.04,No
IND-00098,Male,1,Yes,No,72,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,40.69,2948.29,No
IND-00099,Male,0,No,Yes,63,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),25.4,1605.57,No
IND-00100,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,111.91,7976.59,Yes
IND-00101,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),108.01,4196.48,No
IND-00102,Female,1,No,No,60,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,38.84,2327.71,No
IND-00103,Male,0,Yes,Yes,29,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,68.63,2041.13,Yes
IND-00104,Male,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),116.8,1247.38,No
IND-00105,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,78.48,2684.33,No
IND-00106,Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),73.53,1653.22,Yes
IND-00107,Male,0,No,Yes,72,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),62.03,4663.43,No
IND-00108,Female,0,No,No,21,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,32.57,646.59,Yes
IND-00109,Male,0,Yes,Yes,37,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),31.32,1146.97,Yes
IND-00110,Male,1,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,106.67,2913.77,No
IND-00111,Male,1,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,43.97,2733.23,Yes
IND-00112,Male,0,No,No,53,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,46.87,2499.07,No
IND-00113,Female,0,No,No,28,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,33.48,936.3,No
IND-00114,Female,0,No,Yes,42,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),58.85,2212.5,No
IND-00115,Female,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,82.03,4662.89,No
IND-00116,Female,0,No,No,33,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),73.51,2513.5,No
IND-00117,Female,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.39,1273.88,No
IND-00118,Male,0,No,No,37,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,66.46,2533.74,No
IND-00119,Female,0,No,Yes,47,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),61.44,3003.76,Yes
IND-00120,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.97,1753.37,No
IND-00121,Female,0,Yes,Yes,28,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,84.27,2226.08,Yes
IND-00122,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,113.04,1229.34,No
IND-00123,Male,0,No,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),89.35,2090.09,No
IND-00124,Male,1,Yes,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),37.79,193.1,Yes
IND-00125,Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),84.5,460.77,Yes
IND-00126,Male,0,No,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.98,1514.96,No
IND-00127,Female,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,74.11,3336.69,No
IND-00128,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,115.2,3245.0,No
IND-00129,Male,1,Yes,Yes,13,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,116.18,1650.41,No
IND-00130,Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,107.43,2737.92,No
IND-00131,Male,0,Yes,No,7,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),56.36,398.69,Yes
IND-00132,Male,0,Yes,Yes,66,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.79,6047.0,No
IND-00133,Male,0,Yes,No,58,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,36.81,2055.34,No
IND-00134,Male,1,No,No,66,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),112.09,6823.4,No
IND-00135,Female,0,No,No,36,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),65.06,2414.26,No
IND-00136,Male,0,No,No,2,No,No phone service,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,76.3,153.5,Yes
IND-00137,Female,0,Yes,No,38,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),58.11,2351.93,No
IND-00138,Female,0,No,Yes,14,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,61.04,815.57,No
IND-00139,Male,0,No,No,27,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),57.08,1442.4,No
IND-00140,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,67.13,1042.75,Yes
IND-00141,Female,0,No,No,12,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,105.08,1219.48,No
IND-00142,Male,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),103.65,4111.34,Yes
IND-00143,Male,1,Yes,Yes,57,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),53.39,2954.69,Yes
IND-00144,Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.29,1423.54,Yes
IND-00145,Male,0,Yes,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),64.52,3634.37,No
IND-00146,Male,0,No,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.54,922.97,No
IND-00147,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),94.06,5031.45,No
IND-00148,Male,0,No,No,62,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,20.26,1236.75,No
IND-00149,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),40.43,88.32,No
IND-00150,Male,0,No,Yes,71,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,34.88,2445.52,No
IND-00151,Female,0,No,Yes,31,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,106.46,3405.9,Yes
IND-00152,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),118.95,7905.51,No
IND-00153,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,34.48,1072.31,Yes
IND-00154,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),76.3,401.99,No
IND-00155,Female,0,No,No,58,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,101.78,6252.32,Yes
IND-00156,Male,1,No,Yes,11,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),54.89,597.29,No
IND-00157,Female,1,No,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,45.23,1072.25,Yes
IND-00158,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),48.84,2232.73,Yes
IND-00159,Male,0,No,No,27,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),51.97,1442.04,Yes
IND-00160,Female,0,Yes,Yes,56,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),45.38,2413.3,No
IND-00161,Male,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.61,1772.03,Yes
IND-00162,Female,1,No,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),111.0,5163.67,Yes
IND-00163,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.1,1903.14,No
IND-00164,Female,0,No,No,51,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),104.38,5288.6,No
IND-00165,Male,0,Yes,Yes,61,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,95.93,6083.19,Yes
IND-00166,Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),94.07,2267.02,Yes
IND-00167,Male,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),89.89,3154.69,No
IND-00168,Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,104.37,4110.76,Yes
IND-00169,Male,0,No,No,72,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,25.4,1813.94,No
IND-00170,Female,0,No,No,56,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.2,5078.82,Yes
IND-00171,Female,0,Yes,No,39,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,105.97,4068.63,No
IND-00172,Male,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,84.23,5899.81,Yes
IND-00173,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),104.02,2972.95,Yes
IND-00174,Male,0,Yes,No,21,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,49.45,995.95,No
IND-00175,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.79,3411.45,No
IND-00176,Male,1,No,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),80.41,1926.75,Yes
IND-00177,Female,1,Yes,No,21,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,34.02,735.68,No
